rent, lastUpdated, url
"70000","2024-02-11T05:30:00Z","https://housing.com/rent/13272122-1950-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"20000","2024-03-31T05:30:00Z","https://housing.com/rent/12900320-880-sqft-1-bhk-apartment-on-rent-in-harlur-bengaluru"
"23000","2024-03-04T05:30:00Z","https://housing.com/rent/13379701-1000-sqft-2-bhk-independent-floor-on-rent-in-harlur-bengaluru"
"60000","2024-03-04T01:42:14.000Z","https://housing.com/rent/13825202-1550-sqft-3-bhk-apartment-on-rent-in-haralur-bengaluru"
"65000","2024-02-23T08:19:49.000Z","https://housing.com/rent/13912237-1549-sqft-3-bhk-apartment-on-rent-in-haralur-bengaluru"
"35000","2024-03-13T05:30:00Z","https://housing.com/rent/14064921-1200-sqft-2-bhk-independent-floor-on-rent-in-harlur-bengaluru"
"35000","2024-03-13T05:30:00Z","https://housing.com/rent/14064995-1400-sqft-2-bhk-independent-floor-on-rent-in-harlur-bengaluru"
"34000","2024-03-18T11:58:01Z","https://housing.com/rent/14086159-1171-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"70000","2024-03-22T05:30:00Z","https://housing.com/rent/14119391-1600-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"60000","2024-03-22T18:07:07.000Z","https://housing.com/rent/14122771-1413-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"23500","2024-03-23T16:38:57Z","https://housing.com/rent/14127147-950-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"60000","2024-03-25T15:29:39.000Z","https://housing.com/rent/14134370-1500-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"60000","2024-03-27T09:38:50.000Z","https://housing.com/rent/14144345-1413-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"60000","2024-03-28T18:16:38Z","https://housing.com/rent/14154065-2017-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"55000","2024-03-29T11:59:26Z","https://housing.com/rent/14157338-1856-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"70000","2024-03-29T05:30:00Z","https://housing.com/rent/14163991-1800-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"56000","2024-03-30T11:17:20Z","https://housing.com/rent/14165025-1000-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"62000","2024-04-03T05:30:00Z","https://housing.com/rent/14201108-1700-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"38000","2024-04-04T05:30:00Z","https://housing.com/rent/14205720-1000-sqft-2-bhk-independent-floor-on-rent-in-harlur-bengaluru"
"30000","2024-04-06T05:30:00Z","https://housing.com/rent/14216305-1500-sqft-2.5-bhk-apartment-on-rent-in-harlur-bengaluru"
"85000","2024-04-06T05:30:00Z","https://housing.com/rent/14220567-2400-sqft-4-bhk-apartment-on-rent-in-harlur-bengaluru"
"2","2024-03-19T06:46:13.000Z","https://housing.com/in/buy/projects/page/5363-embassy-pristine-by-redundant-in-bellandur"
"2","2023-12-05T01:50:19.000Z","https://housing.com/in/buy/projects/page/15566-dnr-reflection-by-dnr-corporation-pvt-ltd-in-bellandur"
"1","2024-04-01T04:29:06.000Z","https://housing.com/in/buy/projects/page/28120-prestige-jade-pavilion-by-prestige-estates-projects-ltd-in-bhoganhalli"
"1","2024-04-01T03:23:06.000Z","https://housing.com/in/buy/projects/page/45866-the-address-the-central-regency-address-by-indiabuild-realty-pvt-ltd-in-bellandur"
"NaN","2024-03-28T16:29:56.000Z","https://housing.com/in/buy/projects/page/144401-adarsh-palm-retreat-mayberry-phase-1-by-adarsh-developers-in-bellandur"
"80","2024-03-29T12:30:15.000Z","https://housing.com/in/buy/projects/page/235663-meda-heights-by-meda-constructions-in-bellandur"
"5","2020-08-24T17:25:33Z","https://housing.com/in/buy/projects/page/239655-dra-ranka-iris-by-dra-group-in-domlur-layout"
"1","2022-02-17T15:24:23Z","https://housing.com/in/buy/projects/page/272649-gp-aditya-by-gp-group-in-koramangala"
"1","2022-11-12T13:21:03Z","https://housing.com/in/buy/projects/page/288186-inspira-infinity-by-inspira-builders-in-carmelaram"
