price, lastUpdated, url
"₹55,000","2024-01-30T05:30:00Z","https://housing.com/rent/13127655-1400-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹70,000","2024-02-12T05:30:00Z","https://housing.com/rent/13272122-1950-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹72,000","2024-01-10T05:30:00Z","https://housing.com/rent/13418803-1770-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹60,000","2024-02-07T05:30:00Z","https://housing.com/rent/13431298-1950-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹50,000","2024-01-21T20:17:34Z","https://housing.com/rent/13673062-1280-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹56,000","2024-02-01T05:30:00Z","https://housing.com/rent/13749068-1600-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹55,000","2024-02-01T05:30:00Z","https://housing.com/rent/13749082-1700-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹30,000","2024-02-05T15:09:34Z","https://housing.com/rent/13773453-800-sqft-2-bhk-independent-house-on-rent-in-harlur-bengaluru"
"₹30,000","2024-02-07T05:30:00Z","https://housing.com/rent/13794270-950-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹10,000","2024-02-08T14:29:19Z","https://housing.com/rent/13796700-600-sqft-studio-apartment-on-rent-in-harlur-bengaluru"
"₹70,000","2024-02-29T15:36:05Z","https://housing.com/rent/13807689-2150-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹67,000","2024-02-16T18:49:51.000Z","https://housing.com/rent/13825202-1550-sqft-3-bhk-apartment-on-rent-in-haralur-bengaluru"
"₹3,000","2024-02-14T13:01:48Z","https://housing.com/rent/13840043-1500-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹30,000","2024-02-16T14:09:15Z","https://housing.com/rent/13857702-950-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹67,000","2024-02-17T16:14:48.000Z","https://housing.com/rent/13869273-1548-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹32,000","2024-02-21T20:40:59Z","https://housing.com/rent/13897219-600-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹30,000","2024-02-21T19:20:48Z","https://housing.com/rent/13897222-800-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹30,000","2024-02-21T20:43:21Z","https://housing.com/rent/13897270-600-sqft-2-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹65,000","2024-02-23T08:19:49.000Z","https://housing.com/rent/13912237-1549-sqft-3-bhk-apartment-on-rent-in-haralur-bengaluru"
"₹65,000","2024-02-24T05:30:00Z","https://housing.com/rent/13937863-1470-sqft-3-bhk-apartment-on-rent-in-harlur-bengaluru"
"₹50,000","2024-01-04T05:30:00Z","https://housing.com/rent/13552091-1845-sqft-3-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹50,000","2024-01-06T05:30:00Z","https://housing.com/rent/13575828-1840-sqft-3-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹55,000","2024-01-09T05:30:00Z","https://housing.com/rent/13588275-1705-sqft-3-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹55,000","2024-01-17T05:30:00Z","https://housing.com/rent/13645782-1750-sqft-3-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹49,000","2024-01-23T05:30:00Z","https://housing.com/rent/13693598-1210-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹52,000","2024-01-25T17:49:32Z","https://housing.com/rent/13699760-1448-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹45,000","2024-01-25T05:30:00Z","https://housing.com/rent/13700650-1350-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹45,000","2024-01-25T05:30:00Z","https://housing.com/rent/13700691-1300-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹55,000","2024-01-25T05:30:00Z","https://housing.com/rent/13701758-1715-sqft-3-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹55,000","2024-01-31T05:30:00Z","https://housing.com/rent/13734358-1750-sqft-3-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹45,000","2024-01-31T05:30:00Z","https://housing.com/rent/13734389-1275-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹55,000","2024-02-02T05:30:00Z","https://housing.com/rent/13757494-1745-sqft-3-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹55,000","2024-02-08T05:30:00Z","https://housing.com/rent/13793259-1795-sqft-3-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹45,000","2024-02-13T05:30:00Z","https://housing.com/rent/13832265-1270-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹55,000","2024-02-15T21:48:07Z","https://housing.com/rent/13853438-2300-sqft-3-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹45,000","2024-02-17T05:30:00Z","https://housing.com/rent/13863412-1265-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹45,000","2024-02-21T05:30:00Z","https://housing.com/rent/13890323-1280-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹45,000","2024-02-22T05:30:00Z","https://housing.com/rent/13900583-1240-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹44,000","2024-02-25T05:30:00Z","https://housing.com/rent/13928156-1250-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
"₹45,000","2024-03-01T05:30:00Z","https://housing.com/rent/13962794-1310-sqft-2-bhk-apartment-on-rent-in-bellandur-bengaluru"
